5.86267E+17,Thu Apr 09 20:37:25 +0000 2015,Drugs need careful monitoring for expiry dates
5.86267E+17,Thu Apr 09 20:37:25 +0000 2015,Sabra hummus recalled in U.S. http://www.cbc.ca/news/health/sabra-hummus-recalled-in-u-s-1.3026865?cmp=rss
5.86267E+17,Thu Apr 09 20:37:24 +0000 2015,U.S. sperm bank sued by Canadian couple didn't verify donor info
5.86226E+17,Thu Apr 09 17:57:00 +0000 2015,Manitoba pharmacists want clampdown on Tylenol 1 sales http://www.cbc.ca/news/canada/manitoba/manitoba-pharmacists-want-clampdown-on-tylenol-1-sales-1.3025636?cmp=rss
5.86164E+17,Thu Apr 09 13:50:44 +0000 2015,Mom of 7 'spooked' by vaccinations reverses stand — but then kids get sick http://www.cbc.ca/news/canada/ottawa/tara-hills-ottawa-mom-changes-anti-vaccination-stand-before-7-kids-get-sick-1.3025592?cmp=rss
5.86164E+17,Thu Apr 09 13:50:44 +0000 2015,Hamilton police send mental health pros to the front lines with cops http://www.cbc.ca/news/canada/hamilton/news/hamilton-police-send-mental-health-pros-to-the-front-lines-with-cops-1.3024000?cmp=rss
5.86143E+17,Thu Apr 09 12:26:58 +0000 2015,Wind turbine noise linked to only 1 health issue – annoyance http://www.cbc.ca/news/technology/wind-turbine-noise-linked-to-only-1-health-issue-annoyance-1.3025495?cmp=rss
5.86105E+17,Thu Apr 09 09:53:40 +0000 2015,'Wild West' of e-cigarettes sparks debate over regulation http://www.cbc.ca/news/business/new-e-cigarette-industry-says-regulations-off-the-mark-1.3024944?cmp=rss
5.86105E+17,Thu Apr 09 09:53:39 +0000 2015,Dementia patients sold unproven 'brainwave optimization' http://www.cbc.ca/news/health/dementia-patients-sold-unproven-brainwave-optimization-1.3025392?cmp=rss
5.85924E+17,Wed Apr 08 21:54:58 +0000 2015,Passengers on second China-Vancouver flight in 2 weeks at risk of measles http://www.cbc.ca/news/canada/british-columbia/air-china-flight-991-to-vancouver-passengers-at-risk-of-measles-1.3025063?cmp=rss
5.85907E+17,Wed Apr 08 20:48:05 +0000 2015,Check expiry dates
5.85856E+17,Wed Apr 08 17:23:58 +0000 2015,Hashtagging eating disorders: help or hindrance in recovery? http://www.cbc.ca/news/health/hashtagging-eating-disorders-help-or-hindrance-in-recovery-1.3024790?cmp=rss
5.8582E+17,Wed Apr 08 15:01:48 +0000 2015,Obama says memory of daughter's preschool asthma attacks spurs climate change debate http://www.cbc.ca/news/health/obama-says-memory-of-daughter-s-preschool-asthma-attacks-spurs-climate-change-debate-1.3024697?cmp=rss
5.85732E+17,Wed Apr 08 09:10:56 +0000 2015,Women Into Healing accused of failing drug addicts by angry families http://www.cbc.ca/news/canada/british-columbia/women-into-healing-accused-of-failing-drug-addicts-by-angry-families-1.3023751?cmp=rss
5.8558E+17,Tue Apr 07 23:08:35 +0000 2015,Expired Alesse birth control exposes 'deficiency' http://www.cbc.ca/news/health/expired-alesse-birth-control-exposes-deficiency-1.3023939?cmp=rss
5.85514E+17,Tue Apr 07 18:44:57 +0000 2015,Despite paying top dollar
5.85495E+17,Tue Apr 07 17:31:16 +0000 2015,Boy's severe peanut
5.85454E+17,Tue Apr 07 14:49:30 +0000 2015,Weight Watchers
5.85454E+17,Tue Apr 07 14:49:30 +0000 2015,Cancer-stricken baby from Whitehorse awaiting liver transplant http://www.cbc.ca/news/canada/north/cancer-stricken-baby-from-whitehorse-awaiting-liver-transplant-1.3022510?cmp=rss
5.85435E+17,Tue Apr 07 13:32:10 +0000 2015,Avian flu confirmed on turkey farm near Woodstock http://www.cbc.ca/news/canada/windsor/avian-flu-confirmed-on-turkey-farm-near-woodstock-1.3023174?cmp=rss
5.85435E+17,Tue Apr 07 13:32:09 +0000 2015,Sperm donor's criminal record
5.85416E+17,Tue Apr 07 12:17:07 +0000 2015,Shoppers Drug Mart mistakenly sells expired birth control pills in Western Canada http://www.cbc.ca/news/canada/edmonton/shoppers-drug-mart-warns-of-expired-alesse-birth-control-pills-in-western-canada-1.3022846?cmp=rss
5.85416E+17,Tue Apr 07 12:17:06 +0000 2015,Fracking criticism spreads
5.85162E+17,Mon Apr 06 19:27:21 +0000 2015,Fake OxyContin suspected in OD death of Moose Jaw
5.85095E+17,Mon Apr 06 15:00:17 +0000 2015,B.C. doctor Geoffrey Harding slain on vacation in Bahamas
5.85061E+17,Mon Apr 06 12:47:44 +0000 2015,Titanium implant 'massively' improves quality of life for man who lost leg http://www.cbc.ca/news/canada/manitoba/former-winnipegger-says-bionic-leg-almost-like-the-real-thing-1.3020147?cmp=rss
5.85019E+17,Mon Apr 06 09:58:43 +0000 2015,Listen to Mom: Loud smartphone music can blast your hearing http://www.cbc.ca/news/health/smartphones-can-blast-your-hearing-health-report-warns-1.2993009?cmp=rss
5.85019E+17,Mon Apr 06 09:58:43 +0000 2015,Addiction Canada ignores government orders to pay ex-employees http://www.cbc.ca/news/canada/toronto/addiction-canada-ignores-government-orders-to-pay-ex-employees-1.3020956?cmp=rss
5.84934E+17,Mon Apr 06 04:23:10 +0000 2015,Breast milk sold online may be contaminated with cow's milk http://www.cbc.ca/news/health/breast-milk-sold-online-may-be-contaminated-with-cow-s-milk-1.3019953?cmp=rss
5.84761E+17,Sun Apr 05 16:56:08 +0000 2015,Ghana: How Canada is 'scaling up' pediatric nursing to save little lives http://www.cbc.ca/news/world/ghana-how-canada-is-scaling-up-pediatric-nursing-to-save-little-lives-1.3020564?cmp=rss
